Year_;Month_;Organization;Region;Country;Type;Spend;Leads Eligible - Total;Offline Spend per Leads Methodology;Offline Spend Real
2024;1;OE;Brazil;Brazil;SEM-Brand;$ 151,122;12,513;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;SEO;$ 0;4,792;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;Direct;$ 0;982;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;Agent Created;$ 0;240;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;Unknown;$ 4,980;1,016;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;Desktop LP Login;$ 0;235;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;Mobile App;$ 0;28;$ 0.00;$ 0.00
2024;1;OE;Brazil;Brazil;TV Cable;$ 309,408;0;$ 309,408.46;$ 309,408.46
2024;1;OE;LATAM;Argentina;SEM-Brand;$ 20,483;3,534;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;SEO;$ 0;1,135;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;Direct;$ 0;203;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;Agent Created;$ 0;126;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;Unknown;$ 0;251;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;Desktop LP Login;$ 0;46;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;Mobile App;$ 0;6;$ 0.00;$ 0.00
2024;1;OE;LATAM;Argentina;TV Cable;$ 105,479;0;$ 105,479.17;$ 110,546.11
2024;1;OE;LATAM;Bolivia;SEM-Brand;$ 1,739;252;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;SEO;$ 0;26;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;Direct;$ 0;16;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;Agent Created;$ 0;10;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;Unknown;$ 0;13;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;Mobile App;$ 0;2;$ 0.00;$ 0.00
2024;1;OE;LATAM;Bolivia;TV Cable;$ 9,192;0;$ 9,191.65;$ 0.00
2024;1;OE;LATAM;Chile;SEM-Brand;$ 25,679;2,825;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;SEO;$ 0;410;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Direct;$ 0;131;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Agent Created;$ 0;108;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Unknown;$ 4;149;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Desktop LP Login;$ 0;22;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Mobile App;$ 0;4;$ 0.00;$ 0.00
2024;1;OE;LATAM;Chile;Radio;$ 10,574;0;$ 10,573.74;$ 10,573.74
2024;1;OE;LATAM;Chile;TV Cable;$ 45,269;0;$ 45,269.34;$ 0.00
2024;1;OE;LATAM;Chile;TV Open Air;$ 56,338;0;$ 56,337.63;$ 56,337.63
2024;1;OE;LATAM;Colombia;SEM-Brand;$ 72,930;9,712;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;SEO;$ 0;1,266;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Direct;$ 0;375;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Agent Created;$ 0;666;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Unknown;$ 1;443;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Brand;$ 0;1;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Desktop LP Login;$ 0;111;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Mobile App;$ 0;19;$ 0.00;$ 0.00
2024;1;OE;LATAM;Colombia;Radio;$ 60,974;0;$ 60,974.00;$ 60,974.00
2024;1;OE;LATAM;Colombia;TV Cable;$ 145,547;0;$ 145,547.33;$ 0.00
2024;1;OE;LATAM;Colombia;TV Open Air;$ 131,859;0;$ 131,859.32;$ 131,859.32
2024;1;OE;LATAM;Costa Rica;SEM-Brand;$ 5,097;623;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;SEO;$ 0;140;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;Direct;$ 0;40;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;Agent Created;$ 0;34;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;Unknown;$ 0;59;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;Desktop LP Login;$ 0;15;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;Mobile App;$ 0;1;$ 0.00;$ 0.00
2024;1;OE;LATAM;Costa Rica;TV Cable;$ 18,054;0;$ 18,054.22;$ 0.00
2024;1;OE;LATAM;Dominican Republic;SEM-Brand;$ 3,164;519;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;SEO;$ 0;88;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;Direct;$ 0;32;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;Agent Created;$ 0;21;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;Unknown;$ 0;41;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;Desktop LP Login;$ 0;14;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;Mobile App;$ 0;4;$ 0.00;$ 0.00
2024;1;OE;LATAM;Dominican Republic;TV Cable;$ 21,063;0;$ 21,063.19;$ 0.00
2024;1;OE;LATAM;Ecuador;SEM-Brand;$ 6,225;723;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;SEO;$ 0;101;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Direct;$ 0;50;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Agent Created;$ 0;28;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Unknown;$ 0;59;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Desktop LP Login;$ 0;12;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Mobile App;$ 0;3;$ 0.00;$ 0.00
2024;1;OE;LATAM;Ecuador;Radio;$ 2,696;0;$ 2,696.40;$ 2,696.40
2024;1;OE;LATAM;Ecuador;TV Cable;$ 22,301;0;$ 22,301.51;$ 0.00
2024;1;OE;LATAM;Ecuador;TV Open Air;$ 7,168;0;$ 7,168.00;$ 7,168.00
2024;1;OE;LATAM;El Salvador;SEM-Brand;$ 1,838;364;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;SEO;$ 0;43;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;Direct;$ 0;32;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;Agent Created;$ 0;13;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;Unknown;$ 0;12;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;Desktop LP Login;$ 0;4;$ 0.00;$ 0.00
2024;1;OE;LATAM;El Salvador;TV Cable;$ 11,220;0;$ 11,219.77;$ 0.00
2024;1;OE;LATAM;Guatemala;SEM-Brand;$ 7,056;1,145;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;SEO;$ 0;123;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;Direct;$ 0;71;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;Agent Created;$ 0;92;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;Unknown;$ 1;71;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;Desktop LP Login;$ 0;8;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;Mobile App;$ 0;10;$ 0.00;$ 0.00
2024;1;OE;LATAM;Guatemala;TV Cable;$ 23,863;0;$ 23,862.86;$ 0.00
2024;1;OE;LATAM;Honduras;SEM-Brand;$ 2,725;402;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;SEO;$ 0;127;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;Direct;$ 0;30;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;Agent Created;$ 0;6;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;Unknown;$ 0;17;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;Desktop LP Login;$ 0;8;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;Mobile App;$ 0;4;$ 0.00;$ 0.00
2024;1;OE;LATAM;Honduras;TV Cable;$ 14,361;0;$ 14,361.31;$ 0.00
2024;1;OE;LATAM;Mexico;SEM-Brand;$ 128,861;8,666;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;SEO;$ 0;1,423;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;Direct;$ 0;519;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;Agent Created;$ 0;407;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;Unknown;$ 1;621;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;CTV;$ 10,000;0;$ 10,000.00;$ 10,000.00
2024;1;OE;LATAM;Mexico;Desktop LP Login;$ 0;100;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;Mobile App;$ 0;28;$ 0.00;$ 0.00
2024;1;OE;LATAM;Mexico;Radio;$ 26,835;0;$ 26,835.03;$ 26,835.03
2024;1;OE;LATAM;Mexico;TV Cable;$ 340,929;0;$ 340,928.73;$ 336,404.00
2024;1;OE;LATAM;Mexico;TV Open Air;$ 17,677;0;$ 17,676.70;$ 17,676.70
2024;1;OE;LATAM;Nicaragua;SEM-Brand;$ 1,554;321;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;SEO;$ 0;28;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;Direct;$ 0;11;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;Agent Created;$ 0;7;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;Unknown;$ 0;13;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;Desktop LP Login;$ 0;4;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;Mobile App;$ 0;2;$ 0.00;$ 0.00
2024;1;OE;LATAM;Nicaragua;TV Cable;$ 8,860;0;$ 8,860.42;$ 0.00
2024;1;OE;LATAM;Panama;SEM-Brand;$ 1,429;294;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;SEO;$ 0;46;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;Direct;$ 0;15;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;Agent Created;$ 0;13;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;Unknown;$ 0;13;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;Desktop LP Login;$ 0;5;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;Mobile App;$ 0;2;$ 0.00;$ 0.00
2024;1;OE;LATAM;Panama;TV Cable;$ 9,130;0;$ 9,129.69;$ 0.00
2024;1;OE;LATAM;Paraguay;SEM-Brand;$ 2,154;189;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;SEO;$ 0;33;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;Direct;$ 0;11;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;Agent Created;$ 0;2;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;Unknown;$ 0;17;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;Desktop LP Login;$ 0;1;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;Mobile App;$ 0;3;$ 0.00;$ 0.00
2024;1;OE;LATAM;Paraguay;TV Cable;$ 4,079;0;$ 4,079.41;$ 0.00
2024;1;OE;LATAM;Peru;SEM-Brand;$ 10,553;2,004;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;SEO;$ 0;333;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;Direct;$ 0;86;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;Agent Created;$ 0;92;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;Unknown;$ 0;144;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;Desktop LP Login;$ 0;21;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;Mobile App;$ 0;5;$ 0.00;$ 0.00
2024;1;OE;LATAM;Peru;TV Cable;$ 41,818;0;$ 41,818.48;$ 0.00
2024;1;OE;LATAM;Peru;TV Open Air;$ 16,992;0;$ 16,992.00;$ 16,992.00
2024;1;OE;LATAM;TV LATAM Excl Arg Mex;TV Cable;$ 0;0;$ 0.00;$ 410,853.47
2024;1;OE;LATAM;Uruguay;SEM-Brand;$ 2,574;262;$ 0.00;$ 0.00
2024;1;OE;LATAM;Uruguay;SEO;$ 0;72;$ 0.00;$ 0.00
2024;1;OE;LATAM;Uruguay;Direct;$ 0;15;$ 0.00;$ 0.00
2024;1;OE;LATAM;Uruguay;Agent Created;$ 0;5;$ 0.00;$ 0.00
2024;1;OE;LATAM;Uruguay;Unknown;$ 0;35;$ 0.00;$ 0.00
2024;1;OE;LATAM;Uruguay;TV Cable;$ 8,660;0;$ 8,660.04;$ 0.00
2024;1;OE;US_PR;United States;SEM-Brand;$ 66,372;3,716;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;SEO;$ 0;808;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;Direct;$ 0;428;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;Agent Created;$ 0;548;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;Unknown;$ 318;407;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;CTV;$ 40,000;0;$ 39,999.60;$ 39,999.60
2024;1;OE;US_PR;United States;Desktop LP Login;$ 0;127;$ 0.00;$ 0.00
2024;1;OE;US_PR;United States;Mobile App;$ 0;54;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;SEM-Brand;$ 6,741;2,112;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;SEO;$ 0;624;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;Direct;$ 0;192;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;Agent Created;$ 0;39;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;Unknown;$ 0;61;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;Mobile App;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;Brazil;Brazil;TV Cable;$ 99,418;0;$ 99,417.50;$ 99,417.50
2024;1;Open English Junior;LATAM;Argentina;SEM-Brand;$ 692;292;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Argentina;SEO;$ 0;58;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Argentina;Direct;$ 0;29;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Argentina;Agent Created;$ 0;19;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Argentina;Unknown;$ 0;12;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Argentina;TV Cable;$ 20,466;0;$ 20,466.14;$ 19,869.46
2024;1;Open English Junior;LATAM;Bolivia;SEM-Brand;$ 407;56;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;SEO;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Direct;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Agent Created;$ 0;8;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;Unknown;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Bolivia;TV Cable;$ 4,716;0;$ 4,716.31;$ 0.00
2024;1;Open English Junior;LATAM;Chile;SEM-Brand;$ 2,736;651;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;SEO;$ 0;82;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Direct;$ 0;32;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Agent Created;$ 0;54;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Unknown;$ 0;24;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;Mobile App;$ 0;2;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Chile;TV Cable;$ 30,947;0;$ 30,946.86;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;SEM-Brand;$ 10,255;1,927;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;SEO;$ 0;263;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Direct;$ 0;114;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Agent Created;$ 0;204;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Unknown;$ 0;29;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Desktop LP Login;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;Mobile App;$ 0;3;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Colombia;TV Cable;$ 82,025;0;$ 82,024.98;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;SEM-Brand;$ 357;98;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;SEO;$ 0;12;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Direct;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Agent Created;$ 0;13;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;Unknown;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Costa Rica;TV Cable;$ 6,385;0;$ 6,384.70;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;SEM-Brand;$ 1,108;89;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;SEO;$ 0;14;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Direct;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Agent Created;$ 0;14;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Unknown;$ 0;4;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;Mobile App;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Dominican Republic;TV Cable;$ 8,771;0;$ 8,771.25;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;SEM-Brand;$ 873;136;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;SEO;$ 0;21;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Direct;$ 0;7;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Agent Created;$ 0;20;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Unknown;$ 0;7;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Desktop LP Login;$ 0;0;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Ecuador;Mobile App;$ 0;0;$ 0.00;$ 0.00
